x,y,label
62.0,179.0,0.0
67.0,176.0,0.0
76.0,170.0,0.0
88.0,160.0,0.0
102.0,151.0,0.0
122.0,139.0,0.0
141.0,127.0,0.0
165.0,116.0,0.0
187.0,105.0,0.0
211.0,96.0,0.0
218.0,94.0,0.0
238.0,88.0,0.0
252.0,85.0,0.0
258.0,83.0,0.0
269.0,82.0,0.0
276.0,81.0,0.0
280.0,81.0,0.0
282.0,81.0,0.0
284.0,81.0,0.0
285.0,81.0,0.0
285.0,81.0,0.0
285.0,81.0,0.0
285.0,82.0,0.0
285.0,86.0,0.0
283.0,90.0,0.0
277.0,101.0,0.0
271.0,115.0,0.0
260.0,133.0,0.0
249.0,150.0,0.0
232.0,173.0,0.0
215.0,192.0,0.0
206.0,201.0,0.0
189.0,220.0,0.0
173.0,234.0,0.0
155.0,249.0,0.0
141.0,259.0,0.0
129.0,269.0,0.0
117.0,276.0,0.0
107.0,282.0,0.0
104.0,284.0,0.0
97.0,288.0,0.0
92.0,291.0,0.0
89.0,292.0,0.0
86.0,293.0,0.0
85.0,294.0,0.0
84.0,294.0,0.0
83.0,295.0,0.0
83.0,295.0,0.0
83.0,295.0,0.0
82.0,295.0,0.0
82.0,294.0,0.0
82.0,293.0,0.0
82.0,292.0,0.0
82.0,291.0,0.0
82.0,287.0,0.0
82.0,280.0,0.0
82.0,270.0,0.0
88.0,252.0,0.0
95.0,230.0,0.0
107.0,202.0,0.0
121.0,172.0,0.0
139.0,140.0,0.0
148.0,128.0,0.0
165.0,105.0,0.0
182.0,86.0,0.0
196.0,72.0,0.0
208.0,62.0,0.0
212.0,60.0,0.0
220.0,55.0,0.0
226.0,51.0,0.0
231.0,50.0,0.0
233.0,49.0,0.0
235.0,49.0,0.0
236.0,49.0,0.0
237.0,49.0,0.0
238.0,49.0,0.0
238.0,49.0,0.0
239.0,52.0,0.0
239.0,55.0,0.0
239.0,60.0,0.0
239.0,73.0,0.0
237.0,88.0,0.0
234.0,105.0,0.0
231.0,114.0,0.0
220.0,146.0,0.0
213.0,169.0,0.0
202.0,193.0,0.0
197.0,203.0,0.0
187.0,223.0,0.0
177.0,244.0,0.0
167.0,262.0,0.0
159.0,275.0,0.0
155.0,279.0,0.0
151.0,285.0,0.0
147.0,292.0,0.0
144.0,295.0,0.0
142.0,297.0,0.0
141.0,298.0,0.0
141.0,299.0,0.0
141.0,299.0,0.0
141.0,299.0,0.0
141.0,299.0,0.0
359.0,351.0,0.0
385.0,451.0,1.0
384.0,451.0,1.0
383.0,451.0,1.0
380.0,451.0,1.0
377.0,451.0,1.0
373.0,451.0,1.0
368.0,451.0,1.0
362.0,451.0,1.0
355.0,451.0,1.0
348.0,451.0,1.0
338.0,451.0,1.0
331.0,451.0,1.0
320.0,451.0,1.0
311.0,451.0,1.0
302.0,451.0,1.0
295.0,451.0,1.0
287.0,451.0,1.0
282.0,448.0,1.0
279.0,447.0,1.0
274.0,446.0,1.0
268.0,443.0,1.0
264.0,441.0,1.0
260.0,439.0,1.0
257.0,437.0,1.0
255.0,436.0,1.0
253.0,435.0,1.0
252.0,434.0,1.0
251.0,431.0,1.0
251.0,430.0,1.0
249.0,426.0,1.0
249.0,424.0,1.0
248.0,419.0,1.0
247.0,413.0,1.0
247.0,409.0,1.0
247.0,403.0,1.0
247.0,396.0,1.0
247.0,389.0,1.0
247.0,380.0,1.0
247.0,361.0,1.0
252.0,344.0,1.0
258.0,321.0,1.0
267.0,300.0,1.0
273.0,289.0,1.0
